===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-03-18 18:00:17
count workspace : e:\Projects\EdForge\ISP_Tutor\EFTutorEngineOne
total files : 454
total code lines : 46813
total comment lines : 24252
total blank lines : 14082

.gitignore, code is 1, comment is 3, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CWOZLogClient.as, code is 580, comment is 262, blank is 224.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CXMLSocket.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\ILogManager.as, code is 73, comment is 187, blank is 128.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZAssessIcon.as, code is 21, comment is 3, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZAssessment.as, code is 22, comment is 3, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZController.as, code is 279, comment is 66, blank is 123.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZImgTool322.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZLabeledTab.as, code is 15, comment is 32, blank is 11.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZNavCollection.as, code is 17, comment is 28, blank is 4.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZNextPrompt.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZPanelDark.as, code is 2, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZPanelLight.as, code is 2, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZPrompt.as, code is 43, comment is 34, blank is 19.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZSelector.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZSelectorButton.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZSelectorIcons.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZSelectorItemButton.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZTabTool.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\com\CWOZTip1.as, code is 17, comment is 28, blank is 7.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZBakingController.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZBakingImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZCarsController.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZCarsImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZDrinkController.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZDrinkImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZHouseController.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZHouseImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZMemoryController.as, code is 2, comment is 2, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZMemoryImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZRocketController.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZRocketImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZStudyController.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\CWOZStudyImgTool.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\prepost\events\CWOZNavEvent.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\rampsim\._.DS_Store, it is a binary file.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\rampsim\CAngleCue.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\rampsim\CBall.as, code is 207, comment is 100, blank is 84.
